act_id,Act_Name,Date_Birth,BPlace,Img,WikiLink
15, Seo Hyun Woo,1961,None,//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png,https://en.wikipedia.org/wiki/Seo_Hyun-woo
16, Nam Ki Ae,None,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Nam_Gi-ae_%EB%82%A8%EA%B8%B0%EC%95%A0.png/220px-Nam_Gi-ae_%EB%82%A8%EA%B8%B0%EC%95%A0.png,https://en.wikipedia.org/wiki/Nam_Ki-ae
17, Son Jong Hak,1980,"Seoul, South Korea",None,None
18,Jo Jung Suk,1984,South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/c/cb/181119_%EC%A1%B0%EC%A0%95%EC%84%9D.png/230px-181119_%EC%A1%B0%EC%A0%95%EC%84%9D.png,https://en.wikipedia.org/wiki/Jo_Jung-suk
19, Yoo Yeon Seok,1981,"Busan, South Korea[1]",//upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Yoo_Yeon-seok_-_Bean_Pole_catalogue_2015_Spring-Summer_02_%28cropped%29.jpg/250px-Yoo_Yeon-seok_-_Bean_Pole_catalogue_2015_Spring-Summer_02_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Yoo_Yeon-seok
20, Jung Kyung Ho,1982,South Korea,//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,https://en.wikipedia.org/wiki/Jung_Kyung-ho
21, Kim Dae Myung,1986,"Seoul, South Korea[1]",//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/%EA%B9%80%EB%8C%80%EB%AA%85_Kim_Dae_Myung_1m4s_pandora.png/220px-%EA%B9%80%EB%8C%80%EB%AA%85_Kim_Dae_Myung_1m4s_pandora.png,https://en.wikipedia.org/wiki/Kim_Dae-myung
22, Jeon Mi Do,1975,South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/4/40/Jeon_Mi-do_in_2020.png/220px-Jeon_Mi-do_in_2020.png,https://en.wikipedia.org/wiki/Jeon_Mi-do
23, Shin Hyun Bin,1972,None,//upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Shin_Hyun-been_2022.png/250px-Shin_Hyun-been_2022.png,https://en.wikipedia.org/wiki/Shin_Hyun-bin
24,Lee Sun Kyun,None,South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Lee_Seon-gun_in_Oct_2018.png/220px-Lee_Seon-gun_in_Oct_2018.png,https://en.wikipedia.org/wiki/Lee_Sun-kyun
25, IU,1978,"Suwon, Gyeonggi, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Wiktionary-logo-en-v2.svg/40px-Wiktionary-logo-en-v2.svg.png,https://en.wikipedia.org/wiki/IU
26, Park Ho San,1981,"San Francisco, California, United States",//upload.wikimedia.org/wikipedia/commons/thumb/a/a1/150124_%EB%AE%A4%EC%A7%80%EC%BB%AC_%EB%9F%AC%EB%B8%8C%EB%A0%88%ED%84%B0_%EB%B0%95%ED%98%B8%EC%82%B0.jpg/220px-150124_%EB%AE%A4%EC%A7%80%EC%BB%AC_%EB%9F%AC%EB%B8%8C%EB%A0%88%ED%84%B0_%EB%B0%95%ED%98%B8%EC%82%B0.jpg,https://en.wikipedia.org/wiki/Park_Ho-san
27, Song Sae Byuk,1994,None,None,None
28, Lee Ji Ah,None,"Gyeonggi-do, Pyeongtaek, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/210630_%EC%9D%B4%EC%A7%80%EC%95%84.jpg/250px-210630_%EC%9D%B4%EC%A7%80%EC%95%84.jpg,https://en.wikipedia.org/wiki/Lee_Ji-ah
29, Kim Young Min,1955,"Nowon District, Seoul, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,https://en.wikipedia.org/wiki/Kim_Young-min
30,Park Hae Soo,1989,"Gwangju, Gyeonggi, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/2/2e/20220719_Park_Hae-soo_%28%EB%B0%95%ED%95%B4%EC%88%98%29_1st_Blue_Dragon_Series_Awards.jpg/220px-20220719_Park_Hae-soo_%28%EB%B0%95%ED%95%B4%EC%88%98%29_1st_Blue_Dragon_Series_Awards.jpg,https://en.wikipedia.org/wiki/Park_Hae-soo
31, Jung Kyung Ho,1994,"Incheon, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,https://en.wikipedia.org/wiki/Jung_Kyung-ho
32, Krystal Jung,1990,None,//upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Krystal_Jung_240321.jpg/250px-Krystal_Jung_240321.jpg,https://en.wikipedia.org/wiki/Krystal_Jung
33, Im Hwa Young,None,"Seoul, South Korea",None,None
34, Ye Soo Jung,1993,South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/181011_%EC%98%88%EC%88%98%EC%A0%95.jpg/220px-181011_%EC%98%88%EC%88%98%EC%A0%95.jpg,https://en.wikipedia.org/wiki/Ye_Soo-jung
35, Kim Kyung Nam,1985,"Incheon, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Korea_people_stub_icon.svg/35px-Korea_people_stub_icon.svg.png,https://en.wikipedia.org/wiki/Kim_Kyung-nam
36,Lee Hye Ri,1967,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Lee_Hye-ri_at_the_2022_Blue_Dragon_Series_Awards.jpg/220px-Lee_Hye-ri_at_the_2022_Blue_Dragon_Series_Awards.jpg,https://en.wikipedia.org/wiki/Lee_Hye-ri
37, Go Kyung Pyo,1988,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Go_Kyung-pyo_%EA%B3%A0%EA%B2%BD%ED%91%9C_in_2020.png/220px-Go_Kyung-pyo_%EA%B3%A0%EA%B2%BD%ED%91%9C_in_2020.png,https://en.wikipedia.org/wiki/Go_Kyung-pyo
38, Ryu Joon Yeol,1990,"Uiryeong County, Gyeongsangnam-do South Korea",None,None
39, Park Bo Gum,1977,"Busan, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/f/f2/190501_%EB%B0%B1%EC%83%81%EC%98%88%EC%88%A0%EB%8C%80%EC%83%81_%EB%B0%95%EB%B3%B4%EA%B2%80_2.jpg/220px-190501_%EB%B0%B1%EC%83%81%EC%98%88%EC%88%A0%EB%8C%80%EC%83%81_%EB%B0%95%EB%B3%B4%EA%B2%80_2.jpg,https://en.wikipedia.org/wiki/Park_Bo-gum
40, Lee Dong Hwi,1993,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/160305_%EC%9D%91%EB%8B%B5%ED%95%98%EB%9D%BC_1988_%EC%BD%98%EC%84%9C%ED%8A%B8_%EC%9D%B4%EB%8F%99%ED%9C%98_%28Lee_Dong_Hwi%29_cropped.jpg/220px-160305_%EC%9D%91%EB%8B%B5%ED%95%98%EB%9D%BC_1988_%EC%BD%98%EC%84%9C%ED%8A%B8_%EC%9D%B4%EB%8F%99%ED%9C%98_%28Lee_Dong_Hwi%29_cropped.jpg,https://en.wikipedia.org/wiki/Lee_Dong-hwi
41, Sung Dong Il,1973,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/8/83/151001_%EC%84%B1%EB%8F%99%EC%9D%BC.jpg/220px-151001_%EC%84%B1%EB%8F%99%EC%9D%BC.jpg,https://en.wikipedia.org/wiki/Sung_Dong-il
42,Kim Soo Hyun,1954,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Kim_Soo-hyun_in_June_2020.jpg/220px-Kim_Soo-hyun_in_June_2020.jpg,https://en.wikipedia.org/wiki/Kim_Soo-hyun
43, Seo Yea Ji,1989,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/0/09/ELLE_TAIWAN_Seo_yea_ji_2020_%283%29.png/250px-ELLE_TAIWAN_Seo_yea_ji_2020_%283%29.png,https://en.wikipedia.org/wiki/Seo_Yea-ji
44, Oh Jung Se,1964,South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Oh_Jeong-se_2020.jpg/220px-Oh_Jeong-se_2020.jpg,https://en.wikipedia.org/wiki/Oh_Jung-se
45, Park Gyu Young,1982,South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Park_Kyu-young_2019%282%29.png/220px-Park_Kyu-young_2019%282%29.png,https://en.wikipedia.org/wiki/Park_Gyu-young
46, Jang Young Nam,1996,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/180212_%EC%9E%A5%EC%98%81%EB%82%A8.png/220px-180212_%EC%9E%A5%EC%98%81%EB%82%A8.png,https://en.wikipedia.org/wiki/Jang_Young-nam
47, Kim Chang Wan,1979,South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Kim_Chang-wan_%28cropped%29.jpg/220px-Kim_Chang-wan_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Kim_Chang-wan
48,Shin Hye Sun,2009,U.S.[1],//upload.wikimedia.org/wikipedia/commons/thumb/0/01/190521_%EC%8B%A0%ED%98%9C%EC%84%A0.jpg/220px-190521_%EC%8B%A0%ED%98%9C%EC%84%A0.jpg,https://en.wikipedia.org/wiki/Shin_Hye-sun
49, Kim Jung Hyun,1990,"Seoul, South Korea[1]",//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,https://en.wikipedia.org/wiki/Kim_Jung-hyun
50, Bae Jong Ok,1984,"Jongno-gu, Seoul, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ambox_important.svg/40px-Ambox_important.svg.png,https://en.wikipedia.org/wiki/Bae_Jong-ok
51, Kim Tae Woo,1988,"Busan, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,https://en.wikipedia.org/wiki/Kim_Tae-woo
52, Jo Yun Hee,1984,"Busan, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ambox_important.svg/40px-Ambox_important.svg.png,https://en.wikipedia.org/wiki/Jo_Yun-hee
53, Seol In Ah,1970,"Busanjin-gu, Busan, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Seol_In-ah_at_55th_Baeksang_Arts_Awards_on_010519_%281%29.jpg/250px-Seol_In-ah_at_55th_Baeksang_Arts_Awards_on_010519_%281%29.jpg,https://en.wikipedia.org/wiki/Seol_In-ah
54,Lee Bo Young,1976,"
Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Lee_Bo-young_2017.jpg/220px-Lee_Bo-young_2017.jpg,https://en.wikipedia.org/wiki/Lee_Bo-young
55, Heo Yool,1969,"Geoje, South Gyeongsang, South Korea",//en.wikipedia.org/wiki/Special:CentralAutoLogin/start?type=1x1,https://en.wikipedia.org/wiki/Heo_Yool
56, Lee Hye Young,1989,"Suwon, Gyeonggi, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,https://en.wikipedia.org/wiki/Lee_Hye-young
57, Go Sung Hee,1970,"Beijing, China[citation needed]",//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Go_Sung-hee_at_%22Suits%22_conference%2C_23_April_2018_01.jpg/220px-Go_Sung-hee_at_%22Suits%22_conference%2C_23_April_2018_01.jpg,https://en.wikipedia.org/wiki/Go_Sung-hee
58, Lee Jae Yoon,1994,"Hwaseong, Gyeonggi, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Text_document_with_red_question_mark.svg/40px-Text_document_with_red_question_mark.svg.png,https://en.wikipedia.org/wiki/Lee_Jae-yoon
59, Go Bo Gyeol,1941,South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/d/d8/160817_%EC%98%81%ED%99%94_%27%EA%B7%B8%EB%9E%9C%EB%93%9C_%ED%8C%8C%EB%8D%94%27_%EC%96%B8%EB%A1%A0%EC%8B%9C%EC%82%AC%ED%9A%8C_%EA%B3%A0%EB%B3%B4%EA%B2%B0.jpg/220px-160817_%EC%98%81%ED%99%94_%27%EA%B7%B8%EB%9E%9C%EB%93%9C_%ED%8C%8C%EB%8D%94%27_%EC%96%B8%EB%A1%A0%EC%8B%9C%EC%82%AC%ED%9A%8C_%EA%B3%A0%EB%B3%B4%EA%B2%B0.jpg,https://en.wikipedia.org/wiki/Go_Bo-gyeol
60,Lee Je Hoon,1997,"Cheongju, North Chungcheong Province, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/181103_%EC%9D%B4%EC%A0%9C%ED%9B%88_%EA%B0%80%EC%82%B0_%EB%A7%88%EB%A6%AC%EC%98%A4_%EC%95%84%EC%9A%B8%EB%A0%9B_%ED%8C%AC%EC%8B%B8%EC%9D%B8%ED%9A%8C_03.jpg/220px-181103_%EC%9D%B4%EC%A0%9C%ED%9B%88_%EA%B0%80%EC%82%B0_%EB%A7%88%EB%A6%AC%EC%98%A4_%EC%95%84%EC%9A%B8%EB%A0%9B_%ED%8C%AC%EC%8B%B8%EC%9D%B8%ED%9A%8C_03.jpg,https://en.wikipedia.org/wiki/Lee_Je-hoon
61, Kim Hye Soo,1979,"Yongin, Gyeonggi, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/5/56/181024_%EA%B9%80%ED%98%9C%EC%88%98.png/220px-181024_%EA%B9%80%ED%98%9C%EC%88%98.png,https://en.wikipedia.org/wiki/Kim_Hye-soo
62, Jo Jin Woong,1987,South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/ChoJin-woong_at_news_conference_of_movie_%EC%82%AC%EB%83%A5.jpg/220px-ChoJin-woong_at_news_conference_of_movie_%EC%82%AC%EB%83%A5.jpg,https://en.wikipedia.org/wiki/Jo_Jin-woong
63, Kim Won Hae,1991,None,//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Kim_Won-Hae_from_acrofan.jpg/220px-Kim_Won-Hae_from_acrofan.jpg,https://en.wikipedia.org/wiki/Kim_Won-hae
64, Lee Yoo Joon,2010,"Dong District, Daejeon, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Lee_Yu-jun.jpg/220px-Lee_Yu-jun.jpg,https://en.wikipedia.org/wiki/Lee_Yoo-joon
65, Jang Hyun Sung,1987,"Gangneung, Gangwon-do, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/a/af/200129_%EC%9E%A5%ED%98%84%EC%84%B1.jpg/220px-200129_%EC%9E%A5%ED%98%84%EC%84%B1.jpg,https://en.wikipedia.org/wiki/Jang_Hyun-sung
66,Park In Hwan,None,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,https://en.wikipedia.org/wiki/Park_In-hwan
67, Song Kang,1985,"Masan, South Gyeongsang, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/1/1d/210823_%EC%86%A1%EA%B0%95.png/220px-210823_%EC%86%A1%EA%B0%95.png,https://en.wikipedia.org/wiki/Song_Kang
68, Na Moon Hee,1989,South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/a/af/190713_%EB%82%98%EB%AC%B8%ED%9D%AC.jpg/220px-190713_%EB%82%98%EB%AC%B8%ED%9D%AC.jpg,https://en.wikipedia.org/wiki/Na_Moon-hee
69, Hong Seung Hee,1988,"Daejeon, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Hong_Seung-hee_210604.png/220px-Hong_Seung-hee_210604.png,https://en.wikipedia.org/wiki/Hong_Seung-hee
70, Kim Tae Hoon,1972,"Songpa District, Seoul, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,https://en.wikipedia.org/wiki/Kim_Tae-hoon
71, Yoon  Ji Hye,1973,"Suseong District, Daegu, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png,https://en.wikipedia.org/wiki/Yoon_Ji-hye
72,Han Hyo Joo,1997,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/2/27/20211127_Han_Hyo-joo_%ED%95%9C%ED%9A%A8%EC%A3%BC_BH_Entertainment_%285%29.jpg/220px-20211127_Han_Hyo-joo_%ED%95%9C%ED%9A%A8%EC%A3%BC_BH_Entertainment_%285%29.jpg,https://en.wikipedia.org/wiki/Han_Hyo-joo
73, Park Hyung Sik,1982,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/20180423_%EB%B0%95%ED%98%95%EC%8B%9D.jpg/250px-20180423_%EB%B0%95%ED%98%95%EC%8B%9D.jpg,https://en.wikipedia.org/wiki/Park_Hyung-sik
74, Jo  Woo Jin,1982,"Chilgok County, North Gyeongsang Province, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,https://en.wikipedia.org/wiki/Jo_Woo-jin
75, Lee Joon Hyuk,1984,None,//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,https://en.wikipedia.org/wiki/Lee_Joon-hyuk
76, Park Joo Hee,1981,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ambox_important.svg/40px-Ambox_important.svg.png,https://en.wikipedia.org/wiki/Park_Joo-hee
77, Baek Hyun Jin,1998,South Korea,None,None
78,Song Joong Ki,None,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Song_Joong-ki_at_Style_Icon_Asia_2016.jpg/220px-Song_Joong-ki_at_Style_Icon_Asia_2016.jpg,https://en.wikipedia.org/wiki/Song_Joong-ki
79, Jeon Yeo Been,1975,"Gangneung, Gangwon Province, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/9/95/Jeon_Yeobin_2021.jpg/250px-Jeon_Yeobin_2021.jpg,https://en.wikipedia.org/wiki/Jeon_Yeo-been
80, Ok Taec Yeon,1978,"Yesan County, South Chungcheong Province, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Ok_Taecyeon_in_2020.png/220px-Ok_Taecyeon_in_2020.png,https://en.wikipedia.org/wiki/Ok_Taec-yeon
81, Kim Yeo Jin,1974,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Kim_Yeo-jin_in_2018.png/220px-Kim_Yeo-jin_in_2018.png,https://en.wikipedia.org/wiki/Kim_Yeo-jin
82, Jo Han Chul,1973,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Jo_Han-chul_2021.jpg/220px-Jo_Han-chul_2021.jpg,https://en.wikipedia.org/wiki/Jo_Han-chul
83, Kwak Dong Yeon,1970,"Seocheon County, South Chungcheong Province, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Kwak_Dong-yeon%EA%B3%BD%EB%8F%99%EC%97%B0_in_2021.png/220px-Kwak_Dong-yeon%EA%B3%BD%EB%8F%99%EC%97%B0_in_2021.png,https://en.wikipedia.org/wiki/Kwak_Dong-yeon
84,Hyun Bin,1982,South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/f/f8/190501_%ED%98%84%EB%B9%88.jpg/250px-190501_%ED%98%84%EB%B9%88.jpg,https://en.wikipedia.org/wiki/Hyun_Bin
85, Son Ye Jin,1979,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/2/22/Son_Ye-jin_in_2019.jpg/220px-Son_Ye-jin_in_2019.jpg,https://en.wikipedia.org/wiki/Son_Ye-jin
86, Seo Ji Hye,1970,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Seo_Ji-Hye_para_Marie_Claire_Korea_01.jpg/220px-Seo_Ji-Hye_para_Marie_Claire_Korea_01.jpg,https://en.wikipedia.org/wiki/Seo_Ji-hye
87, Kim Jung Hyun,1984,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,https://en.wikipedia.org/wiki/Kim_Jung-hyun
88, Yang Kyung Won,1970,"Incheon, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Yangkyungwon2020.png/220px-Yangkyungwon2020.png,https://en.wikipedia.org/wiki/Yang_Kyung-won
89, Lee Shin Young,1990,None,//upload.wikimedia.org/wikipedia/commons/thumb/3/33/Lee_Shin-young_%EC%9D%B4%EC%8B%A0%EC%98%81.png/220px-Lee_Shin-young_%EC%9D%B4%EC%8B%A0%EC%98%81.png,https://en.wikipedia.org/wiki/Lee_Shin-young
90,Yeom Jung Ah,1984,"Anyang, Gyeonggi Province, South Korea",None,None
91, Lee Tae Ran,1986,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/7/75/181122_%EC%9D%B4%ED%83%9C%EB%9E%80.png/220px-181122_%EC%9D%B4%ED%83%9C%EB%9E%80.png,https://en.wikipedia.org/wiki/Lee_Tae-ran
92, Yoon Se Ah,None,South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/%28%EC%9A%B0%EB%A8%BC%EC%84%BC%EC%8A%A4_%EC%8A%A4%ED%83%80%29_2018%EB%85%84_2%EC%9B%94%ED%98%B8_%EC%9C%A4%EC%84%B8%EC%95%84_Yoon_Se-ah_02.png/220px-%28%EC%9A%B0%EB%A8%BC%EC%84%BC%EC%8A%A4_%EC%8A%A4%ED%83%80%29_2018%EB%85%84_2%EC%9B%94%ED%98%B8_%EC%9C%A4%EC%84%B8%EC%95%84_Yoon_Se-ah_02.png,https://en.wikipedia.org/wiki/Yoon_Se-ah
93, Oh Na Ra,1987,South Korea,//upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ambox_important.svg/40px-Ambox_important.svg.png,https://en.wikipedia.org/wiki/Oh_Na-ra
94, Kim Seo Hyung,1986,"Daegu, North Gyeongsang Province, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/8/86/Kimseohyung22.jpg/220px-Kimseohyung22.jpg,https://en.wikipedia.org/wiki/Kim_Seo-hyung
95, Jung Joon Ho,1976,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Jung_Joon_Ho.jpg/220px-Jung_Joon_Ho.jpg,https://en.wikipedia.org/wiki/Jung_Joon-ho
96,Joo Ji Hoon,1963,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/3/30/181005_%EC%A3%BC%EC%A7%80%ED%9B%88.png/220px-181005_%EC%A3%BC%EC%A7%80%ED%9B%88.png,https://en.wikipedia.org/wiki/Joo_Ji-hoon
97, Bae Doo Na,1959,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Bae_Doona-190121%28cut%29.jpg/220px-Bae_Doona-190121%28cut%29.jpg,https://en.wikipedia.org/wiki/Bae_Doo-na
98, Kim Sung Gyu,1966,"Busan, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,https://en.wikipedia.org/wiki/Kim_Sung-gyu
